Fluorescein,Target,Species,Clone,Quantity,Brand,Catalog Number,,,,,
Brilliant Violet 421™,IL-2,Mouse,JES6-5H4,3,BioLegend,503826,,,,,
Brilliant Violet 421™,CD279 (PD-1),Mouse,RMP1-30,3,BioLegend,109121,,,,,
Brilliant Violet 421™,CD11c,Mouse,N418,2,BioLegend,117330,,,,,
Brilliant Violet 421™,TIGIT (Vstm3),Mouse,1G9,3,BD Pharmingen,142111,,,,,
Brilliant Violet 421™,TNF-α,Mouse,MP6-XT22,3,BioLegend,506328,,,,,
Brilliant Violet 421™,CD119 (IFN-γ Rα),Mouse,GR20,1,BioLegend,740032,,,,,
Brilliant Violet 421™,"CD274 (B7-H1, PD-L1)",Mouse,10F.9G2,1,BioLegend,124315,,,,,
Brilliant Violet 421™,IL-23R,Mouse,12B2B64,1,BD Pharmingen,150907,,,,,
Brilliant Violet 421™,His Tag,Mouse,J095G46,1,BioLegend,362630,,,,,
Brilliant Violet 421™,P-STAT5,Mouse,47/Stat5（pY694）,1,BD Pharmingen,562984,,,,,
Brilliant Violet 421™,CD122,Mouse,5H4,1,BioLegend,564925,,,,,
Brilliant Violet 510™,CD45,Mouse,30-F11,4,BioLegend,103138,,,,,
Brilliant Violet 510™,CD3,Mouse,17A2,2,BioLegend,100234,,,,,
Brilliant Violet 605™,CD45.2,Mouse,104,9,BioLegend,109841,,,,,
Brilliant Violet 605™,CD11b,Mouse,M1/70,9,BD Pharmingen,101257,,,,,
Brilliant Violet 605™,NK1.1,Mouse,PK136,2,BioLegend,108740,,,,,
Brilliant Violet 605™,IL-10,Mouse,JES5-16E3,0,BioLegend,564082,,,,,
Brilliant Violet 605™,CD4,Mouse,GK1.5,11,BioLegend,100451,,,,,
Brilliant Violet 605™,CD335 (NKp46),Mouse,29A1.4,3,BioLegend,137619,,,,,
Brilliant Violet 605™,IFN-γ,Mouse,XMG1.2,2,BioLegend,505840,,,,,
Brilliant Violet 605™,Ly-6C,Mouse,HK1.4,2,BioLegend,128306,,,,,
Brilliant Violet 605™,I-A/I-E,Mouse,M5/114.15.2,1,BioLegend,107639,,,,,
Brilliant Violet 605™,CD3,Mouse,17A2,1,BioLegend,100237,,,,,
Brilliant Violet 650™,TCR β,Mouse,H57-597,1,BioLegend,109251,,,,,
Brilliant Violet 650™,I-A/I-E,Mouse,M5/114.15.2,2,BioLegend,107641,,,,,
Brilliant Violet 785™,IFN-γ,Mouse,XMG1.2,6,BioLegend,505838,,,,,
Brilliant Violet 785™,CD45.2,Mouse,104,3,BioLegend,109839,,,,,
Brilliant Violet 785™,CD226 (DNAM-1),Mouse,TX42.1,4,BioLegend,133611,,,,,
Brilliant Violet 785™,CD336 (Tim-3),Mouse,RMT3-23,4,BD Pharmingen,119725,,,,,
Brilliant Violet 785™,CD279 (PD-1),Mouse,29F.1A12,2,eBioscience,135225,,,,,
Brilliant Violet 785™,Ly-6A/E (Sca-1),Mouse,D7,1,,108139,,,,,
Brilliant Violet 785™,CD27,Mouse/Rat/Human,LG-3A10,1,,124241,,,,,
Brilliant Violet 785™,CD3,Mouse,17A2,1,,100232,,,,,
Brilliant Violet 786™,CD112 (Nectin-2),Mouse,829038,2,,748050,,,,,
Super Bright™ 436,CD366 (TIM3),Mouse,RMT3-23,1,,62-5870-82,,,,,
